Points_0,Points_1,Points_2,U_0,U_1,U_2,k
7.400000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.003813
7.400200,-0.100000,0.000000,0.000019,0.009546,-0.000000,0.003789
7.400400,-0.100000,0.000000,0.000039,0.019115,-0.000000,0.003765
7.400600,-0.100000,0.000000,0.000058,0.028661,-0.000000,0.003742
7.400800,-0.100000,0.000000,0.000077,0.038230,-0.000000,0.003718
7.401000,-0.100000,0.000000,0.000097,0.047776,-0.000000,0.003694
7.401200,-0.100000,0.000000,0.000116,0.057345,-0.000000,0.003670
7.401400,-0.100000,0.000000,0.000136,0.066891,-0.000000,0.003647
7.401600,-0.100000,0.000000,0.000155,0.076438,-0.000000,0.003623
7.401800,-0.100000,0.000000,0.000174,0.086007,-0.000000,0.003599
7.402000,-0.100000,0.000000,0.000194,0.095553,-0.000000,0.003576
7.402200,-0.100000,0.000000,0.000213,0.105122,-0.000000,0.003552
7.402400,-0.100000,0.000000,0.000232,0.114668,-0.000000,0.003528
7.402600,-0.100000,0.000000,0.000252,0.124237,-0.000000,0.003504
7.402800,-0.100000,0.000000,0.000271,0.133783,-0.000000,0.003481
7.403000,-0.100000,0.000000,0.000290,0.143329,-0.000000,0.003457
7.403200,-0.100000,0.000000,0.000310,0.152898,-0.000000,0.003433
7.403400,-0.100000,0.000000,0.000329,0.162444,-0.000000,0.003410
7.403600,-0.100000,0.000000,0.000349,0.172013,-0.000000,0.003386
7.403800,-0.100000,0.000000,0.000359,0.175071,-0.000000,0.003366
7.404000,-0.100000,0.000000,0.000368,0.176695,-0.000000,0.003348
7.404200,-0.100000,0.000000,0.000377,0.178315,-0.000000,0.003330
7.404400,-0.100000,0.000000,0.000385,0.179935,-0.000000,0.003311
7.404600,-0.100000,0.000000,0.000394,0.181559,-0.000000,0.003293
7.404800,-0.100000,0.000000,0.000403,0.183179,-0.000000,0.003274
7.405000,-0.100000,0.000000,0.000412,0.184803,-0.000000,0.003256
7.405200,-0.100000,0.000000,0.000420,0.186423,-0.000000,0.003237
7.405400,-0.100000,0.000000,0.000429,0.188047,-0.000000,0.003219
7.405600,-0.100000,0.000000,0.000438,0.189667,-0.000000,0.003200
7.405800,-0.100000,0.000000,0.000446,0.191287,-0.000000,0.003182
7.406000,-0.100000,0.000000,0.000455,0.192911,-0.000000,0.003163
7.406200,-0.100000,0.000000,0.000464,0.194531,-0.000000,0.003145
7.406400,-0.100000,0.000000,0.000473,0.196155,-0.000000,0.003126
7.406600,-0.100000,0.000000,0.000481,0.197775,-0.000000,0.003108
7.406800,-0.100000,0.000000,0.000490,0.199398,-0.000000,0.003089
7.407000,-0.100000,0.000000,0.000499,0.201018,-0.000000,0.003071
7.407200,-0.100000,0.000000,0.000507,0.202638,-0.000000,0.003053
7.407400,-0.100000,0.000000,0.000471,0.203633,-0.000000,0.003051
7.407600,-0.100000,0.000000,0.000410,0.204266,-0.000000,0.003059
7.407800,-0.100000,0.000000,0.000349,0.204901,-0.000000,0.003066
7.408000,-0.100000,0.000000,0.000287,0.205534,-0.000000,0.003074
7.408200,-0.100000,0.000000,0.000226,0.206168,-0.000000,0.003082
7.408400,-0.100000,0.000000,0.000164,0.206801,-0.000000,0.003090
7.408600,-0.100000,0.000000,0.000103,0.207434,-0.000000,0.003098
7.408800,-0.100000,0.000000,0.000041,0.208069,-0.000000,0.003105
7.409000,-0.100000,0.000000,-0.000020,0.208702,-0.000000,0.003113
7.409200,-0.100000,0.000000,-0.000082,0.209336,-0.000000,0.003121
7.409400,-0.100000,0.000000,-0.000143,0.209969,-0.000000,0.003129
7.409600,-0.100000,0.000000,-0.000204,0.210604,-0.000000,0.003136
7.409800,-0.100000,0.000000,-0.000266,0.211237,0.000000,0.003144
7.410000,-0.100000,0.000000,-0.000327,0.211870,0.000000,0.003152
7.410200,-0.100000,0.000000,-0.000389,0.212504,0.000000,0.003160
7.410400,-0.100000,0.000000,-0.000450,0.213137,0.000000,0.003168
7.410600,-0.100000,0.000000,-0.000512,0.213772,0.000000,0.003175
7.410800,-0.100000,0.000000,-0.000573,0.214405,0.000000,0.003183
7.411000,-0.100000,0.000000,-0.000647,0.214895,0.000000,0.003188
7.411200,-0.100000,0.000000,-0.000737,0.215213,0.000000,0.003190
7.411400,-0.100000,0.000000,-0.000827,0.215531,0.000000,0.003192
7.411600,-0.100000,0.000000,-0.000916,0.215848,0.000000,0.003194
7.411800,-0.100000,0.000000,-0.001006,0.216165,0.000000,0.003196
7.412000,-0.100000,0.000000,-0.001095,0.216483,-0.000000,0.003198
7.412200,-0.100000,0.000000,-0.001185,0.216800,-0.000000,0.003199
7.412400,-0.100000,0.000000,-0.001275,0.217118,-0.000000,0.003201
7.412600,-0.100000,0.000000,-0.001364,0.217436,-0.000000,0.003203
7.412800,-0.100000,0.000000,-0.001454,0.217754,-0.000000,0.003205
7.413000,-0.100000,0.000000,-0.001543,0.218071,-0.000000,0.003207
7.413200,-0.100000,0.000000,-0.001633,0.218388,-0.000000,0.003209
7.413400,-0.100000,0.000000,-0.001722,0.218706,-0.000000,0.003211
7.413600,-0.100000,0.000000,-0.001812,0.219024,-0.000000,0.003212
7.413800,-0.100000,0.000000,-0.001902,0.219342,-0.000000,0.003214
7.414000,-0.100000,0.000000,-0.001991,0.219659,-0.000000,0.003216
7.414200,-0.100000,0.000000,-0.002081,0.219977,-0.000000,0.003218
7.414400,-0.100000,0.000000,-0.002170,0.220294,-0.000000,0.003220
7.414600,-0.100000,0.000000,-0.002256,0.220568,-0.000000,0.003220
7.414800,-0.100000,0.000000,-0.002332,0.220724,-0.000000,0.003217
7.415000,-0.100000,0.000000,-0.002408,0.220881,-0.000000,0.003214
7.415200,-0.100000,0.000000,-0.002484,0.221037,-0.000000,0.003211
7.415400,-0.100000,0.000000,-0.002560,0.221194,-0.000000,0.003207
7.415600,-0.100000,0.000000,-0.002636,0.221350,-0.000000,0.003204
7.415800,-0.100000,0.000000,-0.002711,0.221507,-0.000000,0.003201
7.416000,-0.100000,0.000000,-0.002787,0.221663,-0.000000,0.003198
7.416200,-0.100000,0.000000,-0.002863,0.221820,-0.000000,0.003194
7.416400,-0.100000,0.000000,-0.002939,0.221976,-0.000000,0.003191
7.416600,-0.100000,0.000000,-0.003015,0.222133,-0.000000,0.003188
7.416800,-0.100000,0.000000,-0.003091,0.222289,-0.000000,0.003185
7.417000,-0.100000,0.000000,-0.003167,0.222446,-0.000000,0.003181
7.417200,-0.100000,0.000000,-0.003242,0.222602,-0.000000,0.003178
7.417400,-0.100000,0.000000,-0.003318,0.222758,-0.000000,0.003175
7.417600,-0.100000,0.000000,-0.003394,0.222915,-0.000000,0.003172
7.417800,-0.100000,0.000000,-0.003470,0.223071,-0.000000,0.003168
7.418000,-0.100000,0.000000,-0.003546,0.223228,-0.000000,0.003165
7.418200,-0.100000,0.000000,-0.003620,0.223373,-0.000000,0.003162
7.418400,-0.100000,0.000000,-0.003678,0.223401,0.000000,0.003156
7.418600,-0.100000,0.000000,-0.003737,0.223429,0.000000,0.003151
7.418800,-0.100000,0.000000,-0.003795,0.223457,0.000000,0.003145
7.419000,-0.100000,0.000000,-0.003854,0.223484,0.000000,0.003139
7.419200,-0.100000,0.000000,-0.003912,0.223512,0.000000,0.003134
7.419400,-0.100000,0.000000,-0.003970,0.223540,0.000000,0.003128
7.419600,-0.100000,0.000000,-0.004029,0.223568,0.000000,0.003122
