Points_0,Points_1,Points_2,U_0,U_1,U_2,k
7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013545
7.000000,0.000600,0.000000,0.087152,0.000009,0.000000,0.013529
7.000000,0.001200,0.000000,0.174304,0.000017,0.000000,0.013514
7.000000,0.001800,0.000000,0.261456,0.000026,0.000000,0.013498
7.000000,0.002400,0.000000,0.348608,0.000034,0.000000,0.013482
7.000000,0.003000,0.000000,0.435759,0.000043,0.000000,0.013467
7.000000,0.003600,0.000000,0.522911,0.000051,0.000000,0.013451
7.000000,0.004200,0.000000,0.610063,0.000060,0.000000,0.013435
7.000000,0.004800,0.000000,0.697215,0.000068,0.000000,0.013420
7.000000,0.005400,0.000000,0.784367,0.000077,0.000000,0.013404
7.000000,0.006000,0.000000,0.836127,0.000085,0.000000,0.013377
7.000000,0.006600,0.000000,0.849145,0.000094,0.000000,0.013338
7.000000,0.007200,0.000000,0.862162,0.000103,0.000000,0.013298
7.000000,0.007800,0.000000,0.875180,0.000112,0.000000,0.013259
7.000000,0.008400,0.000000,0.888198,0.000121,0.000000,0.013219
7.000000,0.009000,0.000000,0.901216,0.000130,0.000000,0.013180
7.000000,0.009600,0.000000,0.914234,0.000139,0.000000,0.013141
7.000000,0.010200,0.000000,0.927251,0.000147,0.000000,0.013101
7.000000,0.010800,0.000000,0.940269,0.000156,0.000000,0.013062
7.000000,0.011400,0.000000,0.953287,0.000165,-0.000000,0.013022
7.000000,0.012000,0.000000,0.962699,0.000175,-0.000000,0.012977
7.000000,0.012600,0.000000,0.970502,0.000185,-0.000000,0.012929
7.000000,0.013200,0.000000,0.978304,0.000195,-0.000000,0.012881
7.000000,0.013800,0.000000,0.986107,0.000204,-0.000000,0.012834
7.000000,0.014400,0.000000,0.993910,0.000214,-0.000000,0.012786
7.000000,0.015000,0.000000,1.001713,0.000224,-0.000000,0.012738
7.000000,0.015600,0.000000,1.009515,0.000234,-0.000000,0.012690
7.000000,0.016200,0.000000,1.017318,0.000244,-0.000000,0.012642
7.000000,0.016800,0.000000,1.025121,0.000254,-0.000000,0.012594
7.000000,0.017400,0.000000,1.032924,0.000264,-0.000000,0.012547
7.000000,0.018000,0.000000,1.039320,0.000274,-0.000000,0.012499
7.000000,0.018600,0.000000,1.044908,0.000285,-0.000000,0.012450
7.000000,0.019200,0.000000,1.050496,0.000296,-0.000000,0.012402
7.000000,0.019800,0.000000,1.056084,0.000307,-0.000000,0.012354
7.000000,0.020400,0.000000,1.061672,0.000318,-0.000000,0.012306
7.000000,0.021000,0.000000,1.067259,0.000329,-0.000000,0.012257
7.000000,0.021600,0.000000,1.072847,0.000340,-0.000000,0.012209
7.000000,0.022200,0.000000,1.078435,0.000351,-0.000000,0.012161
7.000000,0.022800,0.000000,1.084023,0.000362,-0.000000,0.012113
